2025-12-12 06:19:05 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:19:05 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:19:05 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Transaction_Date' in 'order clause'"}
2025-12-12 06:19:07 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:19:07 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:19:07 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Transaction_Date' in 'order clause'"}
2025-12-12 06:19:08 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:19:08 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:19:08 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Transaction_Date' in 'order clause'"}
2025-12-12 06:19:28 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:19:28 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:19:28 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Transaction_Date' in 'order clause'"}
2025-12-12 06:19:30 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:19:30 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:19:30 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Transaction_Date' in 'order clause'"}
2025-12-12 06:19:32 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:19:32 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:19:32 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Transaction_Date' in 'order clause'"}
2025-12-12 06:20:25 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
